ฑ๊สถ,x,y,thickness
1.000000,1359.760603,-32.717904,1.039517,peak,1281.182848,-17.991410
2.000000,1359.328857,-32.458025,0.346506,center,1290.681258,-18.294603
3.000000,1358.897111,-32.371399,1.039517,width 3dB,72.533312
4.000000,1358.465365,-32.198146,1.386023,left 3dB,1254.414602,-20.991410
5.000000,1358.033619,-31.765014,0.346506,right 3dB,1326.947914,-20.991410
6.000000,1357.601874,-31.678387,0.693011
7.000000,1357.170128,-31.375195,0.259879
8.000000,1356.738382,-31.375195,0.519759
9.000000,1356.306636,-31.331881,0.952891
10.000000,1355.874890,-31.072002,0.259879
11.000000,1355.443144,-30.855436,0.259879
12.000000,1355.011398,-30.682183,1.386023
13.000000,1354.579652,-30.422304,0.259879
14.000000,1354.147906,-30.335677,0.606385
15.000000,1353.716160,-30.335677,0.779638
16.000000,1353.284414,-29.815919,0.259879
17.000000,1352.852669,-29.642666,0.433132
18.000000,1352.420923,-29.512726,0.519759
19.000000,1351.989177,-29.252847,0.173253
20.000000,1351.557431,-29.209534,0.606385
21.000000,1351.125685,-28.906341,0.346506
22.000000,1350.693939,-28.646462,0.346506
23.000000,1350.262193,-28.429896,0.259879
24.000000,1349.830447,-28.343269,0.259879
25.000000,1349.398701,-28.170017,0.259879
26.000000,1348.966955,-27.953450,0.346506
27.000000,1348.535209,-27.736884,0.259879
28.000000,1348.103464,-27.563631,0.259879
29.000000,1347.671718,-27.390379,0.259879
30.000000,1347.239972,-27.217126,0.259879
31.000000,1346.808226,-27.043873,0.433132
32.000000,1346.376480,-26.783994,0.259879
33.000000,1345.944734,-26.610741,0.259879
34.000000,1345.512988,-26.437488,0.259879
35.000000,1345.081242,-26.307548,0.173253
36.000000,1344.649496,-26.134295,0.346506
37.000000,1344.217750,-25.961042,0.173253
38.000000,1343.786005,-25.787789,0.346506
39.000000,1343.354259,-25.614537,0.173253
40.000000,1342.922513,-25.441284,0.346506
41.000000,1342.490767,-25.268031,0.173253
42.000000,1342.059021,-25.138091,0.259879
43.000000,1341.627275,-24.964838,0.259879
44.000000,1341.195529,-24.834899,0.173253
45.000000,1340.763783,-24.704959,0.259879
46.000000,1340.332037,-24.531706,0.259879
47.000000,1339.900291,-24.401766,0.173253
48.000000,1339.468545,-24.271827,0.259879
49.000000,1339.036800,-24.141887,0.173253
50.000000,1338.605054,-24.055261,0.173253
51.000000,1338.173308,-23.968634,0.173253
52.000000,1337.741562,-23.795381,0.173253
53.000000,1337.309816,-23.708755,0.173253
54.000000,1336.878070,-23.622129,0.173253
55.000000,1336.446324,-23.448876,0.173253
56.000000,1336.014578,-23.318936,0.259879
57.000000,1335.582832,-23.232310,0.086626
58.000000,1335.151086,-23.145683,0.259879
59.000000,1334.719340,-22.972430,0.259879
60.000000,1334.287595,-22.842491,0.173253
61.000000,1333.855849,-22.712551,0.259879
62.000000,1333.424103,-22.582611,0.173253
63.000000,1332.992357,-22.495985,0.173253
64.000000,1332.560611,-22.409358,0.173253
65.000000,1332.128865,-22.236106,0.173253
66.000000,1331.697119,-22.149479,0.173253
67.000000,1331.265373,-22.019539,0.259879
68.000000,1330.833627,-21.932913,0.259879
69.000000,1330.401881,-21.802973,0.173253
70.000000,1329.970136,-21.716347,0.173253
71.000000,1329.538390,-21.586407,0.259879
72.000000,1329.106644,-21.456468,0.173253
73.000000,1328.674898,-21.369841,0.173253
74.000000,1328.243152,-21.283215,0.173253
75.000000,1327.811406,-21.196588,0.173253
76.000000,1327.379660,-21.066649,0.259879
77.000000,1326.947914,-20.936709,0.173253
78.000000,1326.516168,-20.850083,0.173253
79.000000,1326.084422,-20.763456,0.173253
80.000000,1325.652676,-20.676830,0.173253
81.000000,1325.220931,-20.590203,0.173253
82.000000,1324.789185,-20.460264,0.259879
83.000000,1324.357439,-20.373637,0.259879
84.000000,1323.925693,-20.287011,0.259879
85.000000,1323.493947,-20.243697,0.173253
86.000000,1323.062201,-20.157071,0.173253
87.000000,1322.630455,-20.027131,0.086626
88.000000,1322.198709,-19.983818,0.173253
89.000000,1321.766963,-19.897192,0.173253
90.000000,1321.335217,-19.810565,0.173253
91.000000,1320.903471,-19.810565,0.173253
92.000000,1320.471726,-19.723939,0.173253
93.000000,1320.039980,-19.637312,0.173253
94.000000,1319.608234,-19.637312,0.173253
95.000000,1319.176488,-19.550686,0.173253
96.000000,1318.744742,-19.550686,0.173253
97.000000,1318.312996,-19.464060,0.173253
98.000000,1317.881250,-19.420746,0.086626
99.000000,1317.449504,-19.377433,0.173253
100.000000,1317.017758,-19.334120,0.086626
101.000000,1316.586012,-19.290807,0.173253
102.000000,1316.154267,-19.204180,0.173253
103.000000,1315.722521,-19.204180,0.173253
104.000000,1315.290775,-19.117554,0.173253
105.000000,1314.859029,-19.074241,0.259879
106.000000,1314.427283,-19.030927,0.173253
107.000000,1313.995537,-18.987614,0.086626
108.000000,1313.563791,-18.944301,0.173253
109.000000,1313.132045,-18.857674,0.173253
110.000000,1312.700299,-18.857674,0.173253
111.000000,1312.268553,-18.814361,0.086626
112.000000,1311.836807,-18.771048,0.173253
113.000000,1311.405062,-18.727735,0.086626
114.000000,1310.973316,-18.684422,0.173253
115.000000,1310.541570,-18.684422,0.173253
116.000000,1310.109824,-18.684422,0.173253
117.000000,1309.678078,-18.684422,0.173253
118.000000,1309.246332,-18.684422,0.173253
119.000000,1308.814586,-18.684422,0.173253
120.000000,1308.382840,-18.684422,0.086626
121.000000,1307.951094,-18.684422,0.173253
122.000000,1307.519348,-18.684422,0.173253
123.000000,1307.087602,-18.684422,0.173253
124.000000,1306.655857,-18.641108,0.086626
125.000000,1306.224111,-18.597795,0.173253
126.000000,1305.792365,-18.597795,0.173253
127.000000,1305.360619,-18.597795,0.173253
128.000000,1304.928873,-18.554482,0.259879
129.000000,1304.497127,-18.511169,0.173253
130.000000,1304.065381,-18.511169,0.173253
131.000000,1303.633635,-18.424542,0.173253
132.000000,1303.201889,-18.424542,0.173253
133.000000,1302.770143,-18.424542,0.173253
134.000000,1302.338398,-18.424542,0.173253
135.000000,1301.906652,-18.424542,0.173253
136.000000,1301.474906,-18.424542,0.173253
137.000000,1301.043160,-18.424542,0.173253
138.000000,1300.611414,-18.424542,0.173253
139.000000,1300.179668,-18.424542,0.173253
140.000000,1299.747922,-18.424542,0.173253
141.000000,1299.316176,-18.424542,0.173253
142.000000,1298.884430,-18.424542,0.173253
143.000000,1298.452684,-18.424542,0.173253
144.000000,1298.020938,-18.467856,0.173253
145.000000,1297.589193,-18.511169,0.259879
146.000000,1297.157447,-18.511169,0.173253
147.000000,1296.725701,-18.511169,0.173253
148.000000,1296.293955,-18.511169,0.173253
149.000000,1295.862209,-18.511169,0.173253
150.000000,1295.430463,-18.467856,0.259879
151.000000,1294.998717,-18.424542,0.173253
152.000000,1294.566971,-18.424542,0.173253
153.000000,1294.135225,-18.424542,0.173253
154.000000,1293.703479,-18.381229,0.259879
155.000000,1293.271733,-18.337916,0.173253
156.000000,1292.839988,-18.337916,0.259879
157.000000,1292.408242,-18.337916,0.173253
158.000000,1291.976496,-18.294603,0.259879
159.000000,1291.544750,-18.294603,0.173253
