ฑ๊สถ,x,y,thickness
1.000000,1439.844295,-26.184211,0.263158,peak,1374.406718,-15.657895
2.000000,1439.526636,-26.008772,0.263158,center,1389.495479,-15.676955
3.000000,1439.208978,-25.833333,0.263158,width 3dB,66.390551
4.000000,1438.891320,-25.657895,0.263158,left 3dB,1356.300204,-18.657895
5.000000,1438.573662,-25.438596,0.350877,right 3dB,1422.690755,-18.657895
6.000000,1438.256004,-25.307018,0.263158
7.000000,1437.938346,-25.087719,0.175439
8.000000,1437.620688,-24.956140,0.263158
9.000000,1437.303029,-24.780702,0.263158
10.000000,1436.985371,-24.605263,0.263158
11.000000,1436.667713,-24.429825,0.263158
12.000000,1436.350055,-24.254386,0.263158
13.000000,1436.032397,-24.078947,0.263158
14.000000,1435.714739,-23.903509,0.263158
15.000000,1435.397081,-23.771930,0.175439
16.000000,1435.079422,-23.640351,0.263158
17.000000,1434.761764,-23.464912,0.263158
18.000000,1434.444106,-23.289474,0.263158
19.000000,1434.126448,-23.157895,0.175439
20.000000,1433.808790,-23.026316,0.263158
21.000000,1433.491132,-22.850877,0.263158
22.000000,1433.173474,-22.675439,0.263158
23.000000,1432.855815,-22.500000,0.263158
24.000000,1432.538157,-22.368421,0.175439
25.000000,1432.220499,-22.236842,0.263158
26.000000,1431.902841,-22.105263,0.175439
27.000000,1431.585183,-21.973684,0.263158
28.000000,1431.267525,-21.842105,0.175439
29.000000,1430.949867,-21.666667,0.175439
30.000000,1430.632209,-21.535088,0.263158
31.000000,1430.314550,-21.359649,0.263158
32.000000,1429.996892,-21.228070,0.175439
33.000000,1429.679234,-21.096491,0.263158
34.000000,1429.361576,-20.964912,0.175439
35.000000,1429.043918,-20.833333,0.263158
36.000000,1428.726260,-20.701754,0.175439
37.000000,1428.408602,-20.570175,0.263158
38.000000,1428.090943,-20.438596,0.175439
39.000000,1427.773285,-20.350877,0.175439
40.000000,1427.455627,-20.175439,0.175439
41.000000,1427.137969,-20.043860,0.263158
42.000000,1426.820311,-19.912281,0.175439
43.000000,1426.502653,-19.824561,0.175439
44.000000,1426.184995,-19.649123,0.175439
45.000000,1425.867336,-19.561404,0.175439
46.000000,1425.549678,-19.473684,0.175439
47.000000,1425.232020,-19.385965,0.175439
48.000000,1424.914362,-19.254386,0.263158
49.000000,1424.596704,-19.122807,0.175439
50.000000,1424.279046,-19.035088,0.175439
51.000000,1423.961388,-18.947368,0.175439
52.000000,1423.643729,-18.859649,0.175439
53.000000,1423.326071,-18.771930,0.175439
54.000000,1423.008413,-18.684211,0.175439
55.000000,1422.690755,-18.552632,0.263158
56.000000,1422.373097,-18.421053,0.175439
57.000000,1422.055439,-18.333333,0.175439
58.000000,1421.737781,-18.245614,0.175439
59.000000,1421.420122,-18.157895,0.175439
60.000000,1421.102464,-18.070175,0.175439
61.000000,1420.784806,-17.982456,0.175439
62.000000,1420.467148,-17.938596,0.087719
63.000000,1420.149490,-17.807018,0.175439
64.000000,1419.831832,-17.763158,0.087719
65.000000,1419.514174,-17.675439,0.087719
66.000000,1419.196516,-17.631579,0.175439
