ฑ๊สถ,x,y,thickness
1.000000,1509.775364,-33.651789,0.322092,peak,1463.729345,-12.662152
2.000000,1509.482077,-33.651789,0.429455,center,1464.755849,-12.688993
3.000000,1509.188790,-33.651789,0.751547,width 3dB,38.420563
4.000000,1508.895503,-33.114970,1.181003,left 3dB,1445.545568,-15.662152
5.000000,1508.602217,-32.846560,1.073639,right 3dB,1483.966131,-15.662152
6.000000,1508.308930,-32.309740,0.858911
7.000000,1508.015643,-31.826603,1.181003
8.000000,1507.722356,-31.504511,0.751547
9.000000,1507.429070,-31.343466,0.644183
10.000000,1507.135783,-31.075056,0.966275
11.000000,1506.842496,-30.699282,1.073639
12.000000,1506.549209,-30.645600,1.181003
13.000000,1506.255923,-30.162463,1.288366
14.000000,1505.962636,-30.108781,0.966275
15.000000,1505.669349,-29.518280,0.858911
16.000000,1505.376063,-29.303552,0.214728
17.000000,1505.082776,-28.820415,0.751547
18.000000,1504.789489,-28.766733,0.644183
19.000000,1504.496202,-28.390959,1.181003
20.000000,1504.202916,-27.693094,0.429455
21.000000,1503.909629,-27.424684,0.536819
22.000000,1503.616342,-27.263638,1.073639
23.000000,1503.323055,-26.995229,0.966275
24.000000,1503.029769,-26.887865,1.181003
25.000000,1502.736482,-26.834183,0.644183
26.000000,1502.443195,-26.780501,0.751547
27.000000,1502.149908,-26.619455,1.073639
28.000000,1501.856622,-26.082636,1.073639
29.000000,1501.563335,-25.706862,0.536819
30.000000,1501.270048,-25.599498,0.966275
31.000000,1500.976761,-25.170043,1.395730
32.000000,1500.683475,-24.794269,0.858911
33.000000,1500.390188,-24.794269,0.429455
34.000000,1500.096901,-24.418496,1.181003
35.000000,1499.803614,-24.096404,0.966275
36.000000,1499.510328,-23.881676,1.395730
37.000000,1499.217041,-23.505903,0.858911
38.000000,1498.923754,-23.398539,1.288366
39.000000,1498.630468,-23.291175,1.288366
40.000000,1498.337181,-23.183811,0.644183
41.000000,1498.043894,-22.646992,1.288366
42.000000,1497.750607,-22.271218,0.966275
43.000000,1497.457321,-22.110173,0.751547
44.000000,1497.164034,-22.110173,0.858911
45.000000,1496.870747,-22.056491,0.644183
46.000000,1496.577460,-21.680717,1.073639
47.000000,1496.284174,-21.519671,0.536819
48.000000,1495.990887,-21.304943,0.429455
49.000000,1495.697600,-21.304943,1.181003
50.000000,1495.404313,-21.251262,1.288366
51.000000,1495.111027,-21.251262,0.751547
52.000000,1494.817740,-21.143898,0.751547
53.000000,1494.524453,-21.090216,0.858911
54.000000,1494.231166,-20.875488,0.536819
55.000000,1493.937880,-20.553396,0.751547
56.000000,1493.644593,-20.553396,0.644183
57.000000,1493.351306,-20.392351,0.429455
58.000000,1493.058019,-20.284987,0.107364
59.000000,1492.764733,-20.123941,1.395730
60.000000,1492.471446,-19.855531,1.073639
61.000000,1492.178159,-19.855531,1.073639
62.000000,1491.884872,-19.855531,1.073639
63.000000,1491.591586,-19.855531,0.751547
64.000000,1491.298299,-19.855531,1.288366
65.000000,1491.005012,-19.962895,0.107364
66.000000,1490.711726,-19.962895,0.214728
67.000000,1490.418439,-19.962895,0.214728
68.000000,1490.125152,-18.406119,0.536819
69.000000,1489.831865,-18.406119,0.751547
70.000000,1489.538579,-18.030345,0.858911
71.000000,1489.245292,-18.030345,1.073639
72.000000,1488.952005,-17.815618,0.858911
73.000000,1488.658718,-17.547208,1.288366
74.000000,1488.365432,-17.493526,0.966275
75.000000,1488.072145,-17.386162,0.644183
76.000000,1487.778858,-17.171434,0.858911
77.000000,1487.485571,-17.064070,0.644183
78.000000,1487.192285,-16.903025,0.751547
79.000000,1486.898998,-16.795661,0.966275
80.000000,1486.605711,-16.741979,1.288366
81.000000,1486.312424,-16.634615,1.073639
82.000000,1486.019138,-16.580933,0.966275
83.000000,1485.725851,-16.473569,0.751547
84.000000,1485.432564,-16.366205,0.322092
85.000000,1485.139277,-16.205159,0.644183
86.000000,1484.845991,-16.097796,0.858911
87.000000,1484.552704,-15.883068,0.858911
88.000000,1484.259417,-15.829386,0.966275
89.000000,1483.966131,-15.614658,0.966275
90.000000,1483.672844,-15.560976,0.858911
91.000000,1483.379557,-15.399930,0.536819
92.000000,1483.086270,-15.399930,0.214728
93.000000,1482.792984,-15.238885,0.966275
94.000000,1482.499697,-15.077839,0.107364
95.000000,1482.206410,-14.916793,0.644183
96.000000,1481.913123,-14.916793,0.858911
97.000000,1481.619837,-14.863111,0.751547
98.000000,1481.326550,-14.863111,0.536819
99.000000,1481.033263,-14.648383,0.322092
100.000000,1480.739976,-14.594701,0.429455
101.000000,1480.446690,-14.594701,0.429455
102.000000,1480.153403,-14.594701,0.214728
103.000000,1479.860116,-14.379974,0.644183
104.000000,1479.566829,-14.379974,0.429455
105.000000,1479.273543,-14.326292,0.322092
106.000000,1478.980256,-14.218928,0.536819
